system:time_start,VH
"Nov 16, 2020",-16.333
"Nov 17, 2020",-18.172
"Nov 22, 2020",-14.312
"Nov 23, 2020",-13.893
"Nov 28, 2020",-15.216
"Nov 29, 2020",-18.961
"Dec 4, 2020",-16.983
"Dec 10, 2020",-17.192
"Dec 11, 2020",-15.504
"Dec 16, 2020",-15.987
"Dec 17, 2020",-19.638
"Dec 22, 2020",-18.638
"Dec 23, 2020",-13.169
"Dec 28, 2020",-22.076
"Dec 29, 2020",-14.045
"Jan 3, 2021",-19.365
"Jan 4, 2021",-14.102
"Jan 9, 2021",-18.141
"Jan 10, 2021",-14.107
"Jan 15, 2021",-15.184
"Jan 16, 2021",-17.113
"Jan 21, 2021",-16.264
"Jan 22, 2021",-20.018
"Jan 27, 2021",-14.304
"Jan 28, 2021",-13.553
"Feb 2, 2021",-17.163
"Feb 3, 2021",-16.008
"Feb 8, 2021",-20.325
"Feb 9, 2021",-16.002
"Feb 14, 2021",-18.559
"Feb 15, 2021",-17.567
"Feb 20, 2021",-17.094
"Feb 21, 2021",-14.229
"Feb 26, 2021",-16.338
"Feb 27, 2021",-16.555
"Mar 4, 2021",-18.852
"Mar 5, 2021",-16.919
"Mar 10, 2021",-15.281
"Mar 11, 2021",-17.469
"Mar 16, 2021",-15.987
"Mar 17, 2021",-16.183
"Mar 22, 2021",-19.077
"Mar 28, 2021",-17.624
"Mar 29, 2021",-15.436
"Apr 3, 2021",-18.628
"Apr 4, 2021",-15.781
"Apr 9, 2021",-15.075
"Apr 10, 2021",-15.594
"Apr 15, 2021",-15.645
"Apr 16, 2021",-12.774
"Apr 21, 2021",-17.42
"Apr 22, 2021",-14.221
"Apr 27, 2021",-13.199
"Apr 28, 2021",-15.94
"May 3, 2021",-15.708
"May 4, 2021",-16.217
"May 9, 2021",-16.213
"May 10, 2021",-13.754
"May 15, 2021",-16.922
"May 16, 2021",-17.365
"May 21, 2021",-16.336
"May 22, 2021",-13.577
"May 27, 2021",-16.981
"May 28, 2021",-14.194
"Jun 2, 2021",-16.088
"Jun 3, 2021",-15.598
"Jun 8, 2021",-18.903
"Jun 9, 2021",-12.411
"Jun 14, 2021",-14.473
"Jun 15, 2021",-13.861
"Jun 20, 2021",-13.37
